,0
состояние удовлетворительный,-9.795
удовлетворительный сознание,-8.692
самостоятельно,-8.413
норма,-4.207
напряжение,-4.11
патология,-4.108
определяться орган,-3.657
кровь,3.31
жёсткий,3.096
приём,-2.982
лёгочный,2.961
покой,2.864
узел,-2.568
ка,-2.532
номер,2.517
решение,2.451
высокий,2.413
общий,2.404
слабость,2.311
удовлетворительный наполнение,-2.275
хсн,2.19
препарат,-2.183
выраженный,2.082
пациент,2.04
нижний,2.032
чсс,-1.98
сердце не,-1.931
одышка,1.93
позвоночник,-1.927
положение,1.919
полость,1.885
60,1.851
снижение,1.772
не увеличить,-1.651
для,-1.585
головной,1.546
хронический гастрит,-1.527
плановый,-1.514
тактика,-1.497
экг,-1.451
мина,1.442
план,-1.42
регургитация,-1.379
аортальный,1.303
мсек,-1.252
исследование,1.236
130,-1.204
риск,1.202
поступление,1.18
около,-1.177
ст,1.174
обследование,-1.167
36 град,-1.147
ритм,-1.142
розовый костный,-1.137
свободный,-1.133
место,1.127
70,1.126
справа,1.082
средний,1.025
ст риск,-1.012
систолический,1.011
лёгкий,1.003
доза,0.981
недостаточность,0.98
эхокг,-0.933
70 мм,0.928
диагноз,-0.927
по данные,-0.914
мл,0.906
акк,-0.883
получать,-0.875
фон,0.86
треть,-0.86
отрицать,0.852
аорта,0.841
140,-0.807
онмк,0.803
мг,0.795
боль,-0.79
коронарный,0.787
масса,-0.784
лж,-0.751
поступить,-0.745
результат,-0.708
сердце,-0.681
сутки,0.674
синдром,0.672
степень,0.661
клинический,-0.656
лаб,0.646
признак,0.635
слева,0.622
гипертензия,-0.612
уплотнить,-0.61
диабет,-0.592
левый,0.591
нарушить,-0.561
митральный,0.559
сустав,-0.536
90 мм,-0.531
ожирение,-0.467
осложнение,0.46
клетка,-0.428
вено,-0.411
вид,0.41
желудочковый,-0.394
терапия,0.333
сердечный,0.296
курс,0.293
кт,0.287
смотреть,0.254
стеноз,-0.23
сердцебиение,-0.224
после,0.222
пка,-0.215
анамнез,-0.143
отдел,0.133
желудочек,0.111
