,score_train,score_test,C
0,0.5,0.5,0.01
1,0.6946802725222836,0.6634745976086246,0.1
2,0.8023438490008765,0.7719295948335116,0.2
3,0.8458506776301661,0.819536795056991,0.4
4,0.8795632118369884,0.8406827880512091,1.0
5,0.8953248228016313,0.8425063680571636,2.0
6,0.9066611556638478,0.8423092615259078,4.0
7,0.9152289157173406,0.8427673389423695,10.0
8,0.9174598883517567,0.8414941869654231,20.0
9,0.9178855704486848,0.8394445547138325,40.0
10,0.9179380998211908,0.8378254325316747,100.0
11,0.9179055684287122,0.8371913835500127,200.0
12,0.9178768197562894,0.8368555213720453,400.0
