precision,recall,thresholds,roc_auc,count,count_ratio,type
0.007,1.0,0.0,0.89,79338,1935.0731707317073,train
0.007,0.998,0.0,0.89,74684,1821.560975609756,train
0.009,0.992,0.0,0.89,69437,1693.5853658536585,train
0.01,0.978,0.001,0.89,58100,1417.0731707317073,train
0.011,0.97,0.001,0.89,47753,1164.7073170731708,train
0.011,0.968,0.001,0.89,43420,1059.0243902439024,train
0.012,0.96,0.001,0.89,42352,1032.9756097560976,train
0.013,0.956,0.001,0.89,38899,948.7560975609756,train
0.013,0.954,0.002,0.89,37481,914.170731707317,train
0.014,0.946,0.002,0.89,36863,899.0975609756098,train
0.018,0.875,0.004,0.89,34426,839.6585365853658,train
0.019,0.869,0.004,0.89,24295,592.560975609756,train
0.021,0.847,0.004,0.89,23472,572.4878048780488,train
0.022,0.833,0.004,0.89,20605,502.5609756097561,train
0.025,0.805,0.005,0.89,18877,460.4146341463415,train
0.033,0.759,0.005,0.89,15941,388.8048780487805,train
0.034,0.757,0.011,0.89,11450,279.2682926829268,train
0.035,0.746,0.012,0.89,11359,277.0487804878049,train
0.043,0.672,0.012,0.89,10862,264.9268292682927,train
0.044,0.668,0.013,0.89,7845,191.34146341463415,train
0.046,0.65,0.015,0.89,7694,187.65853658536585,train
0.049,0.632,0.015,0.89,7083,172.7560975609756,train
0.058,0.583,0.018,0.89,6500,158.53658536585365,train
0.066,0.551,0.018,0.89,5082,123.95121951219512,train
0.07,0.533,0.026,0.89,4206,102.58536585365853,train
0.079,0.489,0.03,0.89,3856,94.04878048780488,train
0.09,0.445,0.036,0.89,3116,76.0,train
0.104,0.408,0.036,0.89,2497,60.90243902439025,train
0.107,0.402,0.037,0.89,1969,48.02439024390244,train
0.108,0.398,0.067,0.89,1888,46.048780487804876,train
0.134,0.294,0.069,0.89,1858,45.31707317073171,train
0.179,0.219,0.078,0.89,1101,26.853658536585368,train
0.21,0.171,0.118,0.89,614,14.975609756097562,train
0.22,0.161,0.122,0.89,410,10.0,train
0.246,0.123,0.162,0.89,369,9.0,train
0.299,0.085,0.176,0.89,252,6.146341463414634,train
0.405,0.06,0.186,0.89,144,3.5121951219512195,train
0.443,0.054,0.231,0.89,74,1.8048780487804879,train
0.448,0.052,0.333,0.89,61,1.4878048780487805,train
0.514,0.036,0.348,0.89,58,1.4146341463414633,train
1.0,0.0,0.514,0.89,35,0.8536585365853658,train
0.008,1.0,0.0,0.839,17001,320.77358490566036,val
0.008,0.992,0.0,0.839,17001,320.77358490566036,val
0.008,0.984,0.0,0.839,16377,309.0,val
0.008,0.984,0.0,0.839,15507,292.58490566037733,val
0.009,0.977,0.0,0.839,15506,292.5660377358491,val
0.011,0.969,0.001,0.839,13523,255.1509433962264,val
0.012,0.946,0.001,0.839,11454,216.11320754716982,val
0.012,0.946,0.001,0.839,10565,199.33962264150944,val
0.012,0.922,0.001,0.839,10333,194.96226415094338,val
0.013,0.907,0.001,0.839,9603,181.18867924528303,val
0.013,0.907,0.002,0.839,9261,174.73584905660377,val
0.013,0.907,0.002,0.839,9127,172.20754716981133,val
0.014,0.907,0.002,0.839,9126,172.18867924528303,val
0.018,0.86,0.004,0.839,8585,161.9811320754717,val
0.018,0.86,0.004,0.839,6312,119.09433962264151,val
0.02,0.845,0.004,0.839,6114,115.35849056603773,val
0.021,0.829,0.004,0.839,5413,102.13207547169812,val
0.024,0.798,0.005,0.839,4988,94.11320754716981,val
0.029,0.721,0.005,0.839,4316,81.43396226415095,val
0.029,0.713,0.011,0.839,3192,60.22641509433962,val
0.029,0.713,0.011,0.839,3167,59.75471698113208,val
0.03,0.705,0.012,0.839,3166,59.735849056603776,val
0.035,0.605,0.012,0.839,3035,57.264150943396224,val
0.035,0.605,0.013,0.839,2226,42.0,val
0.036,0.605,0.013,0.839,2225,41.9811320754717,val
0.037,0.589,0.015,0.839,2190,41.320754716981135,val
0.037,0.589,0.015,0.839,2040,38.490566037735846,val
0.039,0.574,0.015,0.839,2039,38.471698113207545,val
0.045,0.527,0.018,0.839,1890,35.660377358490564,val
0.048,0.465,0.018,0.839,1496,28.22641509433962,val
0.052,0.465,0.026,0.839,1247,23.528301886792452,val
0.055,0.403,0.03,0.839,1159,21.867924528301888,val
0.062,0.364,0.036,0.839,952,17.962264150943398,val
0.062,0.364,0.036,0.839,761,14.358490566037736,val
0.073,0.341,0.036,0.839,760,14.339622641509434,val
0.076,0.341,0.037,0.839,606,11.433962264150944,val
0.077,0.341,0.067,0.839,581,10.962264150943396,val
0.086,0.225,0.069,0.839,574,10.830188679245284,val
0.086,0.225,0.073,0.839,338,6.377358490566038,val
0.128,0.171,0.078,0.839,337,6.3584905660377355,val
0.129,0.171,0.091,0.839,172,3.2452830188679247,val
0.129,0.171,0.094,0.839,171,3.2264150943396226,val
0.167,0.14,0.118,0.839,170,3.207547169811321,val
0.168,0.14,0.119,0.839,108,2.0377358490566038,val
0.177,0.132,0.122,0.839,107,2.018867924528302,val
0.188,0.093,0.162,0.839,96,1.8113207547169812,val
0.276,0.062,0.176,0.839,64,1.2075471698113207,val
0.357,0.039,0.186,0.839,29,0.5471698113207547,val
0.385,0.039,0.208,0.839,14,0.2641509433962264,val
0.417,0.039,0.231,0.839,13,0.24528301886792453,val
0.455,0.039,0.333,0.839,12,0.22641509433962265,val
0.667,0.016,0.348,0.839,11,0.20754716981132076,val
1.0,0.0,0.514,0.839,3,0.05660377358490566,val
